Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Springfield, MO M.S.A.",,"438,299", ,,,,, ,,,
,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",,,,,,,,,,
,City of Springfield,"160,078","1,306",5,110,286,905,"14,418","2,053","11,391",974
,Total area actually reporting,100.0%,"1,867",9,133,330,"1,395","20,106","3,601","15,223","1,282"
,"Rate per 100,000 inhabitants",,426.0,2.1,30.3,75.3,318.3,"4,587.3",821.6,"3,473.2",292.5
"Springfield, OH M.S.A.",,"138,434", ,,,,, ,,,
,Includes Clark County,,,,,,,,,,
,City of Springfield,"60,652",390,3,32,209,146,"4,630","1,614","2,816",200
,Total area actually reporting,98.0%,406,3,35,214,154,"5,680","1,853","3,592",235
,Estimated total,100.0%,411,3,36,216,156,"5,755","1,868","3,649",238
,"Rate per 100,000 inhabitants",,296.9,2.2,26.0,156.0,112.7,"4,157.2","1,349.4","2,635.9",171.9
"State College, PA M.S.A.",,"154,481", ,,,,, ,,,
,Includes Centre County,,,,,,,,,,
,City of State College,"56,608",57,0,12,11,34,893,130,741,22
,Total area actually reporting,100.0%,171,0,47,31,93,"2,470",460,"1,952",58
,"Rate per 100,000 inhabitants",,110.7,0.0,30.4,20.1,60.2,"1,598.9",297.8,"1,263.6",37.5
"St. Cloud, MN M.S.A.2",,"190,553", ,,,,, ,,,
,Includes Benton and Stearns Counties2,,,,,,,,,,
,City of St. Cloud2,"66,350",,0,,45,129,"2,578",431,"2,040",107
,Total area actually reporting,96.5%,,0,,50,199,"4,437",721,"3,538",178
,Estimated total,100.0%,,0,,52,204,"4,611",745,"3,681",185
,"Rate per 100,000 inhabitants",,,0.0,,27.3,107.1,"2,419.8",391.0,"1,931.7",97.1
"St. Joseph, MO-KS M.S.A.",,"127,813", ,,,,, ,,,
,"Includes Doniphan County, KS and Andrew, Buchanan, and De Kalb Counties, MO",,,,,,,,,,
,"City of St. Joseph, MO","77,059",281,4,21,82,174,"4,056",907,"2,870",279
,Total area actually reporting,100.0%,352,4,29,83,236,"4,826","1,140","3,379",307
,"Rate per 100,000 inhabitants",,275.4,3.1,22.7,64.9,184.6,"3,775.8",891.9,"2,643.7",240.2
"St. Louis, MO-IL M.S.A.",,"2,824,159",,,,,,,,,
,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, Warren, and Washington Counties and St. Louis City, MO",,,,,,,,,,
,"City of St. Louis, MO","320,454","5,950",113,188,"2,127","3,522","25,669","7,015","15,285","3,369"
,"City of St. Charles, MO","66,033",153,0,9,48,96,"2,002",257,"1,673",72
,Total area actually reporting,95.9%,"13,725",212,684,"3,709","9,120","85,802","20,525","58,510","6,767"
,Estimated total,100.0%,"13,992",215,713,"3,784","9,280","88,365","21,019","60,465","6,881"
,"Rate per 100,000 inhabitants",,495.4,7.6,25.2,134.0,328.6,"3,128.9",744.3,"2,141.0",243.6
"Stockton, CA M.S.A.",,"693,362", ,,,,, ,,,
,Includes San Joaquin County,,,,,,,,,,
,City of Stockton,"295,136","4,155",58,90,"1,323","2,684","15,463","4,133","9,651","1,679"
,Total area actually reporting,100.0%,"5,694",87,140,"1,723","3,744","29,142","7,931","18,193","3,018"
,"Rate per 100,000 inhabitants",,821.2,12.5,20.2,248.5,540.0,"4,203.0","1,143.8","2,623.9",435.3
"Sumter, SC M.S.A.",,"108,707", ,,,,, ,,,
,Includes Sumter County,,,,,,,,,,
,City of Sumter,"40,996",343,3,11,72,257,"2,353",789,"1,426",138
,Total area actually reporting,100.0%,550,17,25,116,392,"3,866","1,219","2,387",260
,"Rate per 100,000 inhabitants",,505.9,15.6,23.0,106.7,360.6,"3,556.3","1,121.4","2,195.8",239.2
"Syracuse, NY M.S.A.",,"665,555", ,,,,, ,,,
,"Includes Madison, Onondaga, and Oswego Counties",,,,,,,,,,
,City of Syracuse,"145,822","1,302",11,63,388,840,"5,275","1,705","3,261",309
,Total area actually reporting,98.9%,"1,894",15,154,491,"1,234","15,723","3,522","11,562",639
,Estimated total,100.0%,"1,907",15,155,495,"1,242","15,860","3,543","11,673",644
,"Rate per 100,000 inhabitants",,286.5,2.3,23.3,74.4,186.6,"2,383.0",532.3,"1,753.9",96.8
"Tallahassee, FL M.S.A.",,"372,419", ,,,,, ,,,
,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",,,,,,,,,,
,City of Tallahassee,"183,848","1,661",10,107,511,"1,033","9,363","3,252","5,748",363
,Total area actually reporting,99.8%,"2,459",18,157,623,"1,661","13,714","4,639","8,531",544
,Estimated total,100.0%,"2,462",18,157,624,"1,663","13,737","4,644","8,548",545
,"Rate per 100,000 inhabitants",,661.1,4.8,42.2,167.6,446.5,"3,688.6","1,247.0","2,295.3",146.3
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",,"2,821,174",,,,,,,,,
,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",,,,,,,,,,
,City of Tampa ,"340,284","2,228",28,58,587,"1,555","10,393","2,718","7,042",633
,City of St. Petersburg,"248,105","2,532",21,90,720,"1,701","12,803","3,412","8,544",847
,City of Clearwater,"109,153",801,10,40,182,569,"4,129",719,"3,252",158
,City of Largo,"78,706",373,1,32,101,239,"3,048",617,"2,327",104
,Total area actually reporting,100.0%,"12,277",134,687,"2,960","8,496","87,498","21,996","60,961","4,541"
,"Rate per 100,000 inhabitants",,435.2,4.7,24.4,104.9,301.2,"3,101.5",779.7,"2,160.8",161.0
"Terre Haute, IN M.S.A.",,"173,306", ,,,,, ,,,
,"Includes Clay, Sullivan, Vermillion, and Vigo Counties",,,,,,,,,,
,City of Terre Haute,"61,095",152,4,17,91,40,"3,942",934,"2,725",283
,Total area actually reporting,86.5%,287,6,38,105,138,"6,269","1,531","4,308",430
,Estimated total,100.0%,317,6,41,110,160,"6,697","1,632","4,607",458
,"Rate per 100,000 inhabitants",,182.9,3.5,23.7,63.5,92.3,"3,864.3",941.7,"2,658.3",264.3
"Texarkana, TX-Texarkana, AR M.S.A.",,"138,304",,,,,,,,,
,"Includes Miller County, AR and Bowie County, TX",, ,,,,,,,,
,"City of Texarkana, TX ","37,177",468,3,25,77,363,"2,477",746,"1,590",141
,"City of Texarkana, AR ","30,145",245,1,10,35,199,"2,270",525,"1,623",122
,Total area actually reporting,100.0%,913,10,67,120,716,"6,428","1,828","4,191",409
,"Rate per 100,000 inhabitants",,660.1,7.2,48.4,86.8,517.7,"4,647.7","1,321.7","3,030.3",295.7
"Toledo, OH M.S.A.3",,"651,905", ,,,,, ,,,
,"Includes Fulton, Lucas, Ottawa, and Wood Counties",,,,,,,,,,
,City of Toledo3,"287,418","2,868",30,124,"1,152","1,562",,"8,366",,"1,465"
,Total area actually reporting,90.2%,"3,192",39,161,"1,247","1,745",,"9,936",,"1,745"
,Estimated total,100.0%,"3,289",40,175,"1,285","1,789",,"10,299",,"1,808"
,"Rate per 100,000 inhabitants",,504.5,6.1,26.8,197.1,274.4,,"1,579.8",,277.3
"Topeka, KS M.S.A.",,"235,354", ,,,,, ,,,
,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",,,,,,,,,,
,City of Topeka,"128,283",698,15,53,235,395,"7,529","1,727","5,213",589
,Total area actually reporting,98.2%,875,15,65,241,554,"9,817","2,409","6,703",705
,Estimated total,100.0%,885,15,66,242,562,"9,911","2,425","6,775",711
,"Rate per 100,000 inhabitants",,376.0,6.4,28.0,102.8,238.8,"4,211.1","1,030.4","2,878.6",302.1
"Trenton-Ewing, NJ M.S.A.",,"367,733",,,,,,,,,
,Includes Mercer County,, ,,,,,,,,
,City of Trenton,"85,196","1,208",23,25,519,641,"2,570","1,138",993,439
,City of Ewing Township,"35,909",85,2,7,44,32,814,257,511,46
,Total area actually reporting,100.0%,"1,604",25,53,691,835,"8,010","2,295","5,035",680
,"Rate per 100,000 inhabitants",,436.2,6.8,14.4,187.9,227.1,"2,178.2",624.1,"1,369.2",184.9
"Tucson, AZ M.S.A.3",,"994,140", ,,,,, ,,,
,Includes Pima County,,,,,,,,,,
,City of Tucson3,"527,479","3,440",51,204,"1,163","2,022",,"4,979",,"2,746"
,Total area actually reporting,100.0%,"4,309",75,284,"1,406","2,544",,"8,408",,"3,827"
,"Rate per 100,000 inhabitants",,433.4,7.5,28.6,141.4,255.9,,845.8,,385.0
"Tulsa, OK M.S.A.",,"947,512", ,,,,, ,,,
,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",,,,,,,,,,
,City of Tulsa,"396,101","3,960",49,266,"1,090","2,555","21,923","7,353","12,136","2,434"
,Total area actually reporting,100.0%,"5,250",64,399,"1,236","3,551","33,176","10,324","19,575","3,277"
,"Rate per 100,000 inhabitants",,554.1,6.8,42.1,130.4,374.8,"3,501.4","1,089.6","2,065.9",345.9
"Tuscaloosa, AL M.S.A.1",,"220,518", ,,,,, ,,,
,"Includes Greene, Hale, and Tuscaloosa Counties1",,,,,,,,,,
,City of Tuscaloosa1,"90,903",432,3,39,194,196,"4,402","1,249","2,963",190
,Total area actually reporting,94.4%,950,9,61,256,624,"7,550","2,102","5,028",420
,Estimated total,100.0%,979,9,64,261,645,"7,791","2,194","5,162",435
,"Rate per 100,000 inhabitants",,444.0,4.1,29.0,118.4,292.5,"3,533.0",994.9,"2,340.9",197.3
"Tyler, TX M.S.A.",,"214,127", ,,,,, ,,,
,Includes Smith County,,,,,,,,,,
,City of Tyler,"98,939",503,3,46,79,375,"4,441",834,"3,423",184
,Total area actually reporting,100.0%,791,8,100,102,581,"6,995","1,603","5,055",337
,"Rate per 100,000 inhabitants",,369.4,3.7,46.7,47.6,271.3,"3,266.8",748.6,"2,360.7",157.4
"Utica-Rome, NY M.S.A.",,"300,743",,,,,,,,,
,Includes Herkimer and Oneida Counties,, ,,,,,,,,
,City of Utica ,"62,515",382,4,17,102,259,"2,501",615,"1,809",77
,City of Rome,"33,877",26,1,1,9,15,441,109,311,21
,Total area actually reporting,98.5%,691,8,46,143,494,"6,623","1,547","4,895",181
,Estimated total,100.0%,699,8,46,146,499,"6,710","1,561","4,965",184
,"Rate per 100,000 inhabitants",,232.4,2.7,15.3,48.5,165.9,"2,231.1",519.0,"1,650.9",61.2
"Valdosta, GA M.S.A.",,"141,426", ,,,,, ,,,
,"Includes Brooks, Echols, Lanier, and Lowndes Counties",,,,,,,,,,
,City of Valdosta,"55,236",268,5,27,102,134,"2,500",815,"1,598",87
,Total area actually reporting,99.1%,480,8,40,122,310,"4,363","1,320","2,851",192
,Estimated total,100.0%,485,8,40,124,313,"4,415","1,330","2,889",196
,"Rate per 100,000 inhabitants",,342.9,5.7,28.3,87.7,221.3,"3,121.8",940.4,"2,042.8",138.6
"Vallejo-Fairfield, CA M.S.A.",,"418,203",,,,,,,,,
,Includes Solano County,, ,,,,,,,,
,City of Vallejo ,"117,305",903,18,53,435,397,"5,244","2,468","1,716","1,060"
,City of Fairfield ,"106,559",425,5,21,148,251,"2,974",572,"2,055",347
,Total area actually reporting,100.0%,"1,802",30,113,694,965,"12,087","3,960","6,298","1,829"
,"Rate per 100,000 inhabitants",,430.9,7.2,27.0,165.9,230.7,"2,890.2",946.9,"1,506.0",437.3
"Victoria, TX M.S.A.",,"117,812", ,,,,, ,,,
,"Includes Calhoun, Goliad, and Victoria Counties",,,,,,,,,,
,City of Victoria,"63,909",392,2,38,70,282,"3,249",857,"2,299",93
,Total area actually reporting,98.8%,581,3,65,81,432,"4,503","1,225","3,118",160
,Estimated total,100.0%,584,3,65,82,434,"4,548","1,234","3,151",163
,"Rate per 100,000 inhabitants",,495.7,2.5,55.2,69.6,368.4,"3,860.4","1,047.4","2,674.6",138.4
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",,"1,691,669",,,,,,,,,
,"Includes Currituck County, NC and Gloucester, Isle of Wight, James City, Mathews, Surry, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA                       ",,,,,,,,,,
,"City of Virginia Beach, VA","443,226",776,15,60,412,289,"12,133","2,038","9,645",450
,"City of Norfolk, VA","245,704","1,424",29,81,625,689,"12,258","2,256","9,217",785
,"City of Newport News, VA","182,878",845,15,52,388,390,"6,041","1,094","4,592",355
,"City of Hampton, VA","139,078",350,9,19,155,167,"5,273",820,"4,180",273
,"City of Portsmouth, VA","96,676",550,12,46,235,257,"5,237","1,348","3,623",266
,Total area actually reporting,100.0%,"5,488",111,367,"2,227","2,783","56,010","10,284","42,961","2,765"
,"Rate per 100,000 inhabitants",,324.4,6.6,21.7,131.6,164.5,"3,310.9",607.9,"2,539.6",163.4
"Visalia-Porterville, CA M.S.A.",,"447,377",,,,,,,,,
,Includes Tulare County,, ,,,,,,,,
,City of Visalia ,"125,905",486,8,40,95,343,"5,121","1,110","3,466",545
,City of Porterville,"54,802",226,2,5,58,161,"1,937",519,"1,222",196
,Total area actually reporting,100.0%,"1,942",40,99,325,"1,478","15,334","3,986","9,433","1,915"
,"Rate per 100,000 inhabitants",,434.1,8.9,22.1,72.6,330.4,"3,427.5",891.0,"2,108.5",428.1
"Waco, TX M.S.A.",,"239,849", ,,,,, ,,,
,Includes McLennan County,,,,,,,,,,
,City of Waco,"127,431",766,11,70,245,440,"6,422","1,670","4,593",159
,Total area actually reporting,100.0%,"1,126",12,130,271,713,"9,548","2,414","6,875",259
,"Rate per 100,000 inhabitants",,469.5,5.0,54.2,113.0,297.3,"3,980.8","1,006.5","2,866.4",108.0
"Warner Robins, GA M.S.A.",,"141,742",,,,,,,,,
,Includes Houston County,,,,,,,,,,
,City of Warner Robins,"67,096",347,5,22,122,198,"4,078",746,"3,156",176
,Total area actually reporting,100.0%,470,5,31,149,285,"5,947","1,143","4,543",261
,"Rate per 100,000 inhabitants",,331.6,3.5,21.9,105.1,201.1,"4,195.7",806.4,"3,205.1",184.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",,"5,651,690",,,,,,,,,
,"Includes the Metropolitan Divisions of Bethesda-Rockville-Frederick, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",,,,,,,,,,
,"City of Washington, D.C. ","617,996","6,985",108,172,"3,756","2,949","28,312","3,849","20,124","4,339"
,"City of Alexandria, VA","141,638",252,1,14,129,108,"3,181",303,"2,506",372
,"City of Frederick, MD","65,858",306,2,19,96,189,"1,787",235,"1,474",78
,Total area actually reporting,99.9%,"18,890",251,908,"9,002","8,729","134,666","20,083","99,866","14,717"
,Estimated total,100.0%,"18,908",251,909,"9,005","8,743","134,852","20,115","100,012","14,725"
,"Rate per 100,000 inhabitants",,334.6,4.4,16.1,159.3,154.7,"2,386.0",355.9,"1,769.6",260.5
"Bethesda-Rockville-Frederick, MD M.D.",,"1,216,589",,,,,,,,,
,Includes Frederick and Montgomery Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"2,282",18,146,"1,005","1,113","22,508","3,903","17,153","1,452"
,"Rate per 100,000 inhabitants",,187.6,1.5,12.0,82.6,91.5,"1,850.1",320.8,"1,409.9",119.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",,"4,435,101",,,,, ,,,,
,"Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Fairfax, Fauquier, Loudoun, Prince William, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",,,,,,,,,,
,Total area actually reporting,99.9%,"16,608",233,762,"7,997","7,616","112,158","16,180","82,713","13,265"
,Estimated total,100.0%,"16,626",233,763,"8,000","7,630","112,344","16,212","82,859","13,273"
,"Rate per 100,000 inhabitants",,374.9,5.3,17.2,180.4,172.0,"2,533.1",365.5,"1,868.3",299.3
"Waterloo-Cedar Falls, IA M.S.A.",,"168,698",,,,,,,,,
,"Includes Black Hawk, Bremer, and Grundy Counties",, ,,,,,,,,
,City of Waterloo ,"68,764",357,3,52,60,242,"2,159",673,"1,401",85
,City of Cedar Falls,"39,466",71,1,11,4,55,605,119,453,33
,Total area actually reporting,100.0%,559,4,82,65,408,"3,447",994,"2,307",146
,"Rate per 100,000 inhabitants",,331.4,2.4,48.6,38.5,241.9,"2,043.3",589.2,"1,367.5",86.5
"Wausau, WI M.S.A.",,"134,647", ,,,,, ,,,
,Includes Marathon County,,,,,,,,,,
,City of Wausau,"39,276",123,0,32,21,70,"1,178",253,890,35
,Total area actually reporting,100.0%,200,0,49,28,123,"2,415",494,"1,844",77
,"Rate per 100,000 inhabitants",,148.5,0.0,36.4,20.8,91.3,"1,793.6",366.9,"1,369.5",57.2
"Wenatchee-East Wenatchee, WA M.S.A.",,"112,624", ,,,,, ,,,
,Includes Chelan and Douglas Counties,,,,,,,,,,
,City of Wenatchee,"32,426",87,2,5,22,58,"1,315",197,"1,056",62
,City of East Wenatchee,"13,397",31,0,6,7,18,546,64,468,14
,Total area actually reporting,100.0%,177,6,26,33,112,"2,932",582,"2,199",151
,"Rate per 100,000 inhabitants",,157.2,5.3,23.1,29.3,99.4,"2,603.4",516.8,"1,952.5",134.1
"Wichita, KS M.S.A.",,"627,017", ,,,,, ,,,
,"Includes Butler, Harvey, Sedgwick, and Sumner Counties",,,,,,,,,,
,City of Wichita,"384,796","2,950",25,238,490,"2,197","19,456","4,005","13,550","1,901"
,Total area actually reporting,99.6%,"3,612",31,311,528,"2,742","24,648","5,194","17,271","2,183"
,Estimated total,100.0%,"3,619",31,312,529,"2,747","24,709","5,204","17,318","2,187"
,"Rate per 100,000 inhabitants",,577.2,4.9,49.8,84.4,438.1,"3,940.7",830.0,"2,762.0",348.8
"Wichita Falls, TX M.S.A.",,"154,490", ,,,,, ,,,
,"Includes Archer, Clay, and Wichita Counties",,,,,,,,,,
,City of Wichita Falls,"106,753",459,1,30,147,281,"4,876","1,241","3,398",237
,Total area actually reporting,100.0%,552,1,46,150,355,"5,681","1,476","3,936",269
,"Rate per 100,000 inhabitants",,357.3,0.6,29.8,97.1,229.8,"3,677.3",955.4,"2,547.7",174.1
"Williamsport, PA M.S.A.",,"116,481", ,,,,, ,,,
,Includes Lycoming County,,,,,,,,,,
,City of Williamsport,"29,475",100,1,8,56,35,"1,254",222,982,50
,Total area actually reporting,100.0%,207,1,24,70,112,"2,565",531,"1,943",91
,"Rate per 100,000 inhabitants",,177.7,0.9,20.6,60.1,96.2,"2,202.1",455.9,"1,668.1",78.1
"Wilmington, NC M.S.A.",,"366,909", ,,,,, ,,,
,"Includes Brunswick, New Hanover, and Pender Counties",,,,,,,,,,
,City of Wilmington,"107,826",662,10,32,254,366,"5,708","1,454","3,843",411
,Total area actually reporting,98.5%,"1,220",16,96,356,752,"13,248","3,696","8,836",716
,Estimated total,100.0%,"1,236",16,97,360,763,"13,480","3,748","9,008",724
,"Rate per 100,000 inhabitants",,336.9,4.4,26.4,98.1,208.0,"3,673.9","1,021.5","2,455.1",197.3
"Winchester, VA-WV M.S.A.",,"129,751", ,,,,, ,,,
,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",,,,,,,,,,
,"City of Winchester, VA","26,516",63,0,3,29,31,"1,117",130,956,31
,Total area actually reporting,100.0%,246,3,40,47,156,"2,932",573,"2,219",140
,"Rate per 100,000 inhabitants",,189.6,2.3,30.8,36.2,120.2,"2,259.7",441.6,"1,710.2",107.9
"Winston-Salem, NC M.S.A.",,"483,775", ,,,,, ,,,
,"Includes Davie, Forsyth, Stokes, and Yadkin Counties",,,,,,,,,,
,City of Winston-Salem,"232,529","1,565",14,93,444,"1,014","13,874","4,680","8,522",672
,Total area actually reporting,99.4%,"2,299",20,143,507,"1,629","21,322","7,045","13,315",962
,Estimated total,100.0%,"2,307",20,144,509,"1,634","21,438","7,071","13,401",966
,"Rate per 100,000 inhabitants",,476.9,4.1,29.8,105.2,337.8,"4,431.4","1,461.6","2,770.1",199.7
"Worcester, MA M.S.A.",,"803,419", ,,,,, ,,,
,Includes Worcester County,,,,,,,,,,
,City of Worcester,"182,145","1,800",11,36,411,"1,342","6,077","2,066","3,481",530
,Total area actually reporting,98.6%,"3,495",16,158,587,"2,734","17,297","5,031","11,241","1,025"
,Estimated total,100.0%,"3,528",16,160,593,"2,759","17,516","5,085","11,392","1,039"
,"Rate per 100,000 inhabitants",,439.1,2.0,19.9,73.8,343.4,"2,180.2",632.9,"1,417.9",129.3
"Yakima, WA M.S.A.",,"247,047", ,,,,, ,,,
,Includes Yakima County,,,,,,,,,,
,City of Yakima,"92,496",481,6,48,156,271,"5,120","1,619","2,841",660
,Total area actually reporting,100.0%,807,16,106,236,449,"10,418","3,351","5,802","1,265"
,"Rate per 100,000 inhabitants",,326.7,6.5,42.9,95.5,181.7,"4,217.0","1,356.4","2,348.5",512.0
"York-Hanover, PA M.S.A.",,"436,359",,,,,,,,,
,Includes York County,,,,,,,,,,
,City of York,"43,857",721,16,60,333,312,"1,731",429,"1,147",155
,City of Hanover,"15,338",26,0,3,10,13,675,64,604,7
,Total area actually reporting,100.0%,"1,324",20,139,466,699,"8,717","1,385","6,941",391
,"Rate per 100,000 inhabitants",,303.4,4.6,31.9,106.8,160.2,"1,997.7",317.4,"1,590.7",89.6
"Yuba City, CA M.S.A.",,"168,854",,,,,,,,,
,Includes Sutter and Yuba Counties,,,,,,,,,,
,City of Yuba City,"65,688",210,1,20,57,132,"1,795",348,"1,277",170
,Total area actually reporting,100.0%,684,8,52,102,522,"4,716","1,187","3,010",519
,"Rate per 100,000 inhabitants",,405.1,4.7,30.8,60.4,309.1,"2,792.9",703.0,"1,782.6",307.4
"Yuma, AZ M.S.A.",,"198,522",,,,,,,,,
,Includes Yuma County,, ,,,,, ,,,
,City of Yuma,"94,381",490,4,33,66,387,"3,227",822,"2,196",209
,Total area actually reporting,87.0%,611,13,43,76,479,"4,390","1,284","2,795",311
,Estimated total,100.0%,676,14,48,90,524,"5,222","1,464","3,403",355
,"Rate per 100,000 inhabitants",,340.5,7.1,24.2,45.3,264.0,"2,630.4",737.4,"1,714.2",178.8
"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",,"304,633",,,,,,,,,
,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, and San Sebastian Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,336,30,1,158,147,"3,150","1,398","1,648",104
,"Rate per 100,000 inhabitants",,110.3,9.8,0.3,51.9,48.3,"1,034.0",458.9,541.0,34.1
"Fajardo, Puerto Rico M.S.A.",,"70,000",,,,,,,,,
,"Includes Ceiba, Fajardo, and Luquillo Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,205,26,2,85,92,"1,073",446,562,65
,"Rate per 100,000 inhabitants",,292.9,37.1,2.9,121.4,131.4,"1,532.9",637.1,802.9,92.9
"Guayama, Puerto Rico M.S.A.",,"84,045",,,,,,,,,
,"Includes Arroyo, Guayama, and Patillas Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,177,18,0,73,86,"1,066",406,624,36
,"Rate per 100,000 inhabitants",,210.6,21.4,0.0,86.9,102.3,"1,268.4",483.1,742.5,42.8
"Mayaguez, Puerto Rico M.S.A.",,"105,007",,,,,,,,,
,Includes Hormigueros and Mayaguez Municipios,,,,,,,,,,
,Total area actually reporting,100.0%,210,27,0,105,78,"1,903",632,"1,154",117
,"Rate per 100,000 inhabitants",,200.0,25.7,0.0,100.0,74.3,"1,812.3",601.9,"1,099.0",111.4
"Ponce, Puerto Rico M.S.A.",,"240,170",,,,,,,,,
,"Includes Juana Diaz, Ponce, and Villalba Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,653,81,8,338,226,"2,792",865,"1,795",132
,"Rate per 100,000 inhabitants",,271.9,33.7,3.3,140.7,94.1,"1,162.5",360.2,747.4,55.0
"San German-Cabo Rojo, Puerto Rico M.S.A.",,"137,202",,,,,,,,,
,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,92,6,0,56,30,"1,011",503,464,44
,"Rate per 100,000 inhabitants",,67.1,4.4,0.0,40.8,21.9,736.9,366.6,338.2,32.1
"San Juan-Caguas-Guaynabo, Puerto Rico M.S.A.",,"2,468,598",,,,,,,,,
,"Includes Aguas Buenas, Aibonito, Arecibo, Barceloneta, Barranquitas, Bayamon, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ciales, Cidra, Comerio, Corozal, Dorado, Florida, Guaynabo, Gurabo, Hatillo, Humacao, Juncos, Las Piedras, Loiza, Manati, Maunabo, Morovis, Naguabo, Naranjito, Orocovis, Quebradillas, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and Yabucoa Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,"8,309",894,28,"5,439","1,948","37,157","10,826","21,102","5,229"
,"Rate per 100,000 inhabitants",,336.6,36.2,1.1,220.3,78.9,"1,505.2",438.5,854.8,211.8
"Yauco, Puerto Rico M.S.A.",,"105,916",,,,,,,,,
,"Includes Guanica, Guayanilla, Penuelas, and Yauco Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,145,18,3,51,73,824,385,407,32
,"Rate per 100,000 inhabitants",,136.9,17.0,2.8,48.2,68.9,778.0,363.5,384.3,30.2
"1 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
"2 The data collection methodology for the offense of forcible rape used by Chicago, Illinois, and the Minnesota state UCR Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,
"3 The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table.  ",,,,,,,,,,,
"4 The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.",,,,,,,,,,,
