Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,Total area actually reporting,97.3%,,21,287,957,,"20,746","5,262","12,638","2,846",,,
,Estimated total,100.0%,,21,291,969,,"21,117","5,353","12,882","2,882",,,
,"Rate per 100,000 inhabitants",,,3.0,42.1,140.2,,"3,054.3",774.2,"1,863.2",416.8,,,
"Springfield, MO M.S.A.",,"401,034",,,,,,,,,,,,
,"Includes Christian, Dallas, Greene, Polk, and 
Webster Counties",,,,,,,,,,,,,
,City of Springfield,"151,397","1,001",6,82,252,661,"13,161","1,972","10,358",831,,,
,Total area actually reporting,100.0%,"1,947",7,115,275,"1,550","18,027","3,135","13,744","1,148",,,
,"Rate per 100,000 inhabitants",,485.5,1.7,28.7,68.6,386.5,"4,495.1",781.7,"3,427.1",286.3,,,
"Springfield, OH M.S.A.",,"142,549",,,,,,,,,,,,
,Includes Clark County,,,,,,,,,,,,,
,City of Springfield,"63,379",535,4,56,309,166,"6,331","1,978","3,856",497,,,
,Total area actually reporting,92.7%,600,6,70,331,193,"8,340","2,493","5,222",625,,,
,Estimated total,100.0%,620,6,73,339,202,"8,658","2,553","5,461",644,,,
,"Rate per 100,000 inhabitants",,434.9,4.2,51.2,237.8,141.7,"6,073.7","1,791.0","3,831.0",451.8,,,
"State College, PA M.S.A.",,"140,685",,,,,,,,,,,,
,Includes Centre County,,,,,,,,,,,,,
,City of State College,"52,225",39,2,7,12,18,997,122,856,19,,,
,Total area actually reporting,97.9%,137,3,25,24,85,"2,789",452,"2,259",78,,,
,Estimated total,100.0%,144,3,25,26,90,"2,852",461,"2,309",82,,,
,"Rate per 100,000 inhabitants",,102.4,2.1,17.8,18.5,64.0,"2,027.2",327.7,"1,641.3",58.3,,,
"St. Cloud, MN M.S.A.4",,"182,369",,,,,,,,,,,,
,Includes Benton and Stearns Counties,,,,,,,,,,,,,
,City of St. Cloud4,"66,232",,0,,54,153,"3,062",377,"2,555",130,,,
,Total area actually reporting,99.3%,,1,,60,226,"5,115",671,"4,223",221,,,
,Estimated total,100.0%,,1,,61,227,"5,158",677,"4,257",224,,,
,"Rate per 100,000 inhabitants",,,0.5,,33.4,124.5,"2,828.3",371.2,"2,334.3",122.8,,,
"St. Joseph, MO-KS M.S.A.1",,"122,851",,,,,,,,,,,,
,"Includes Doniphan County, KS and Andrew, Buchanan, and De Kalb Counties, MO",,,,,,,,,,,,,
,"City of St. Joseph, MO1","73,192",213,0,11,67,135,"3,863",761,"2,782",320,,,
,Total area actually reporting,98.4%,329,2,20,68,239,"4,769","1,018","3,366",385,,,
,Estimated total,100.0%,335,2,21,69,243,"4,825","1,027","3,409",389,,,
,"Rate per 100,000 inhabitants",,272.7,1.6,17.1,56.2,197.8,"3,927.5",836.0,"2,774.9",316.6,,,
"St. Louis, MO-IL M.S.A.",,"2,798,956",,,,,,,,,,,,
,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, Warren, and Washington Counties and St. Louis City, MO",,,,,,,,,,,,,
,"City of St. Louis, MO","346,879","8,605",129,337,"3,147","4,992","40,751","8,510","23,596","8,645",,,
,"City of St. Charles, MO","62,759",158,1,14,44,99,"1,981",280,"1,568",133,,,
,Total area actually reporting,75.3%,"13,802",173,638,"4,166","8,825","90,265","16,367","61,074","12,824",,,
,Estimated total,100.0%,"15,846",185,639,"4,676","10,346","104,435","18,997","71,794","13,644",,,
,"Rate per 100,000 inhabitants",,566.1,6.6,22.8,167.1,369.6,"3,731.2",678.7,"2,565.0",487.5,,,
"Stockton, CA M.S.A.",,"670,097",,,,,,,,,,,,
,Includes San Joaquin County,,,,,,,,,,,,,
,City of Stockton,"289,510","4,288",37,102,"1,519","2,630","19,719","3,836","12,202","3,681",,,
,Total area actually reporting,100.0%,"6,079",57,165,"1,916","3,941","36,202","7,234","22,705","6,263",,,
,"Rate per 100,000 inhabitants",,907.2,8.5,24.6,285.9,588.1,"5,402.5","1,079.5","3,388.3",934.6,,,
"Sumter, SC M.S.A.",,"107,158",,,,,,,,,,,,
,Includes Sumter County,,,,,,,,,,,,,
,City of Sumter,"40,296",532,4,14,87,427,"2,087",495,"1,478",114,,,
,Total area actually reporting,100.0%,"1,333",10,40,142,"1,141","4,641","1,407","2,912",322,,,
,"Rate per 100,000 inhabitants",,"1,244.0",9.3,37.3,132.5,"1,064.8","4,331.0","1,313.0","2,717.5",300.5,,,
"Syracuse, NY M.S.A.",,"653,507",,,,,,,,,,,,
,"Includes Madison, Onondaga, and Oswego Counties",,,,,,,,,,,,,
,City of Syracuse,"142,062","1,515",12,66,534,903,"6,677","1,904","4,037",736,,,
,Total area actually reporting,99.3%,"2,102",18,145,684,"1,255","15,960","3,761","11,191","1,008",,,
,Estimated total,100.0%,"2,110",18,145,687,"1,260","16,048","3,774","11,262","1,012",,,
,"Rate per 100,000 inhabitants",,322.9,2.8,22.2,105.1,192.8,"2,455.7",577.5,"1,723.3",154.9,,,
"Tallahassee, FL M.S.A.",,"340,534",,,,,,,,,,,,
,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",,,,,,,,,,,,,
,City of Tallahassee,"161,173","1,615",10,155,452,998,"7,709","2,168","4,935",606,,,
,Total area actually reporting,99.5%,"2,778",11,238,580,"1,949","12,675","3,874","7,862",939,,,
,Estimated total,100.0%,"2,789",11,239,583,"1,956","12,749","3,891","7,912",946,,,
,"Rate per 100,000 inhabitants",,819.0,3.2,70.2,171.2,574.4,"3,743.8","1,142.6","2,323.4",277.8,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",,"2,692,311",,,,,,,,,,,,
,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",,,,,,,,,,,,,
,City of Tampa ,"331,487","3,839",25,133,"1,211","2,470","18,789","4,451","11,251","3,087",,,
,City of St. Petersburg,"253,280","3,753",21,112,"1,032","2,588","16,409","3,466","10,182","2,761",,,
,City of Clearwater,"110,520",862,4,44,200,614,"4,837",882,"3,527",428,,,
,City of Largo,"75,729",439,2,35,102,300,"2,733",485,"2,016",232,,,
,Total area actually reporting,100.0%,"19,095",133,"1,025","4,511","13,426","113,752","26,017","74,405","13,330",,,
,"Rate per 100,000 inhabitants",,709.2,4.9,38.1,167.6,498.7,"4,225.1",966.3,"2,763.6",495.1,,,
"Texarkana, TX-Texarkana, AR M.S.A.",,"136,867", ,,,,,,,,,,,
,"Includes Miller County, AR and Bowie County, TX",,,,,,,,,,,,,
,"Texarkana, TX ","36,759",462,3,30,75,354,"2,376",451,"1,803",122,,,
,"Texarkana, AR ","30,348",490,3,18,81,388,"1,530",406,"1,023",101,,,
,Total area actually reporting,100.0%,"1,179",14,67,167,931,"5,230","1,247","3,639",344,,,
,"Rate per 100,000 inhabitants",,861.4,10.2,49.0,122.0,680.2,"3,821.2",911.1,"2,658.8",251.3,,,
"Toledo, OH M.S.A.",,"657,496",,,,,,,,,,,,
,"Includes Fulton, Lucas, Ottawa, and Wood Counties",,,,,,,,,,,,,
,City of Toledo,"301,652","3,461",35,169,"1,248","2,009","22,711","6,915","13,239","2,557",,,
,Total area actually reporting,95.8%,"3,713",37,226,"1,307","2,143","31,741","8,435","20,328","2,978",,,
,Estimated total,100.0%,"3,764",37,234,"1,327","2,166","32,581","8,593","20,960","3,028",,,
,"Rate per 100,000 inhabitants",,572.5,5.6,35.6,201.8,329.4,"4,955.3","1,306.9","3,187.9",460.5,,,
"Topeka, KS M.S.A.",,"230,694",,,,,,,,,,,,
,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",,,,,,,,,,,,,
,City of Topeka,"122,807",669,9,57,310,293,"8,748","1,478","6,645",625,,,
,Total area actually reporting,98.3%,895,12,95,320,468,"11,711","2,080","8,850",781,,,
,Estimated total,100.0%,905,12,96,321,476,"11,821","2,097","8,935",789,,,
,"Rate per 100,000 inhabitants",,392.3,5.2,41.6,139.1,206.3,"5,124.1",909.0,"3,873.1",342.0,,,
"Trenton-Ewing, NJ M.S.A.",,"366,535", ,,,,,,,,,,,
,Includes Mercer County,,,,,,,,,,,,,
,City of Trenton,"84,703","1,274",18,31,632,593,"2,477",806,"1,211",460,,,
,City of Ewing Township,"37,265",114,0,8,57,49,780,173,559,48,,,
,Total area actually reporting,100.0%,"1,781",21,66,867,827,"8,086","1,860","5,403",823,,,
,"Rate per 100,000 inhabitants",,485.9,5.7,18.0,236.5,225.6,"2,206.1",507.5,"1,474.1",224.5,,,
"Tucson, AZ M.S.A.7",,"960,135",,,,,,,,,,,,
,Includes Pima County,,,,,,,,,,,,,
,City of Tucson7,"535,232","4,580",51,294,"1,675","2,560",,"5,121",,"7,376",,,
,Total area actually reporting,100.0%,"5,682",72,400,"1,975","3,235",,"8,365",,"9,592",,,
,"Rate per 100,000 inhabitants",,591.8,7.5,41.7,205.7,336.9,,871.2,,999.0,,,
"Tulsa, OK M.S.A.",,"895,554",,,,,,,,,,,,
,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",,,,,,,,,,,,,
,City of Tulsa,"385,834","4,816",53,289,997,"3,477","24,011","6,315","14,523","3,173",,,
,Total area actually reporting,100.0%,"6,158",67,408,"1,113","4,570","34,196","8,972","21,106","4,118",,,
,"Rate per 100,000 inhabitants",,687.6,7.5,45.6,124.3,510.3,"3,818.4","1,001.8","2,356.8",459.8,,,
"Tuscaloosa, AL M.S.A.",,"198,666",,,,,,,,,,,,
,"Includes Greene, Hale, and Tuscaloosa Counties",,,,,,,,,,,,,
,City of Tuscaloosa,"82,094",604,15,47,221,321,"5,234","1,256","3,709",269,,,
,Total area actually reporting,83.6%,953,22,84,260,587,"8,167","2,096","5,518",553,,,
,Estimated total,100.0%,"1,073",23,94,303,653,"9,322","2,352","6,327",643,,,
,"Rate per 100,000 inhabitants",,540.1,11.6,47.3,152.5,328.7,"4,692.3","1,183.9","3,184.7",323.7,,,
"Tyler, TX M.S.A.",,"195,995",,,,,,,,,,,,
,Includes Smith County,,,,,,,,,,,,,
,City of Tyler,"94,541",563,5,41,110,407,"4,313",842,"3,280",191,,,
,Total area actually reporting,98.9%,904,6,75,136,687,"6,882","1,643","4,845",394,,,
,Estimated total,100.0%,910,6,76,137,691,"6,959","1,658","4,901",400,,,
,"Rate per 100,000 inhabitants",,464.3,3.1,38.8,69.9,352.6,"3,550.6",845.9,"2,500.6",204.1,,,
"Utica-Rome, NY M.S.A.",,"298,683", ,,,,,,,,,,,
,Includes Herkimer and Oneida Counties,,,,,,,,,,,,,
,City of Utica ,"59,495",425,3,20,138,264,"2,799",763,"1,889",147,,,
,City of Rome,"34,436",45,1,3,10,31,566,154,381,31,,,
,Total area actually reporting,96.8%,811,7,54,168,582,"6,555","1,591","4,700",264,,,
,Estimated total,100.0%,829,7,55,175,592,"6,746","1,620","4,853",273,,,
,"Rate per 100,000 inhabitants",,277.6,2.3,18.4,58.6,198.2,"2,258.6",542.4,"1,624.8",91.4,,,
"Valdosta, GA M.S.A.",,"127,788",,,,,,,,,,,,
,"Includes Brooks, Echols, Lanier, and Lowndes Counties",,,,,,,,,,,,,
,City of Valdosta,"46,657",298,2,23,97,176,"3,054",699,"2,228",127,,,
,Total area actually reporting,96.6%,527,3,37,126,361,"5,251","1,178","3,835",238,,,
,Estimated total,100.0%,543,3,38,132,370,"5,386","1,214","3,915",257,,,
,"Rate per 100,000 inhabitants",,424.9,2.3,29.7,103.3,289.5,"4,214.8",950.0,"3,063.7",201.1,,,
"Vallejo-Fairfield, CA M.S.A.",,"415,300", ,,,,,,,,,,,
,Includes Solano County,,,,,,,,,,,,,
,City of Vallejo,"118,541","1,206",6,31,430,739,"5,971","1,155","3,300","1,516",,,
,City of Fairfield,"105,417",654,6,36,241,371,"4,363",745,"2,912",706,,,
,Total area actually reporting,100.0%,"2,531",14,129,849,"1,539","15,129","2,884","9,329","2,916",,,
,"Rate per 100,000 inhabitants",,609.4,3.4,31.1,204.4,370.6,"3,642.9",694.4,"2,246.3",702.1,,,
"Victoria, TX M.S.A.",,"116,568",,,,,,,,,,,,
,"Includes Calhoun, Goliad, and Victoria Counties",,,,,,,,,,,,,
,City of Victoria,"63,541",337,5,32,89,211,"2,973",688,"2,112",173,,,
,Total area actually reporting,100.0%,454,7,58,92,297,"4,005",958,"2,797",250,,,
,"Rate per 100,000 inhabitants",,389.5,6.0,49.8,78.9,254.8,"3,435.8",821.8,"2,399.5",214.5,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.",,"153,369",,,,,,,,,,,,
,Includes Cumberland County,,,,,,,,,,,,,
,City of Vineland ,"58,208",539,6,19,167,347,"2,737",539,"2,068",130,,,
,City of Millville,"27,907",240,8,8,98,126,"1,534",398,"1,083",53,,,
,City of Bridgeton,"23,977",359,0,21,156,182,"1,040",288,666,86,,,
,Total area actually reporting,100.0%,"1,243",15,50,434,744,"6,197","1,532","4,329",336,,,
,"Rate per 100,000 inhabitants",,810.5,9.8,32.6,283.0,485.1,"4,040.6",998.9,"2,822.6",219.1,,,
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",,"1,663,994",,,,,,,,,,,,
,"Includes Currituck County, NC and Gloucester, Isle of Wight, James City, Mathews, Surry, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA",,,,,,,,,,,,,
,"City of Virginia Beach, VA","442,784","1,256",19,115,678,444,"12,855","2,048","10,212",595,,,
,"City of Norfolk, VA","234,266","1,844",28,100,948,768,"11,683","1,614","9,032","1,037",,,
,"City of Newport News, VA","181,692","1,422",19,109,473,821,"7,578","1,661","5,160",757,,,
,"City of Hampton, VA","147,030",571,11,53,269,238,"4,861",767,"3,594",500,,,
,"City of Portsmouth, VA","101,167",870,18,37,336,479,"5,045","1,100","3,591",354,,,
,Total area actually reporting,100.0%,"7,693",121,547,"3,180","3,845","56,616","9,877","42,653","4,086",,,
,"Rate per 100,000 inhabitants",,462.3,7.3,32.9,191.1,231.1,"3,402.4",593.6,"2,563.3",245.6,,,
"Visalia-Porterville, CA M.S.A.",,"414,574", ,,,,,,,,,,,
,Includes Tulare County,,,,,,,,,,,,,
,City of Visalia ,"109,648",871,8,50,213,600,"6,466","1,368","3,817","1,281",,,
,City of Porterville,"45,364",250,9,21,61,159,"2,413",534,"1,480",399,,,
,Total area actually reporting,100.0%,"2,442",49,130,466,"1,797","19,326","4,611","10,858","3,857",,,
,"Rate per 100,000 inhabitants",,589.0,11.8,31.4,112.4,433.5,"4,661.7","1,112.2","2,619.1",930.4,,,
"Waco, TX M.S.A.",,"231,035",,,,,,,,,,,,
,Includes McLennan County,,,,,,,,,,,,,
,City of Waco,"123,879",952,9,72,257,614,"7,512","2,188","4,869",455,,,
,Total area actually reporting,100.0%,"1,283",10,122,292,859,"10,819","2,960","7,222",637,,,
,"Rate per 100,000 inhabitants",,555.3,4.3,52.8,126.4,371.8,"4,682.8","1,281.2","3,125.9",275.7,,,
"Warner Robins, GA M.S.A.",,"130,215",,,,,,,,,,,,
,Includes Houston County,,,,,,,,,,,,,
,City of Warner Robins,"59,605",310,3,15,127,165,"3,049",659,"2,230",160,,,
,Total area actually reporting,100.0%,505,3,31,148,323,"4,316",916,"3,149",251,,,
,"Rate per 100,000 inhabitants",,387.8,2.3,23.8,113.7,248.1,"3,314.5",703.5,"2,418.3",192.8,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.1",,"5,275,654",,,,,,,,,,,,
,"Metropolitan Divisions of Bethesda-Frederick-Gaithersburg, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",,,,,,,,,,,,,
,"City of Washington, D.C. ","581,530","8,408",169,182,"3,604","4,453","26,015","3,826","15,132","7,057",,,
,"City of Alexandria, VA","136,686",448,7,27,206,208,"3,194",380,"2,439",375,,,
,"City of Frederick, MD","58,066",530,4,17,152,357,"1,744",354,"1,287",103,,,
,Total area actually reporting,99.7%,"25,161",389,998,"11,058","12,716","151,800","21,670","102,445","27,685",,,
,Estimated total,100.0%,"25,229",390,"1,004","11,079","12,756","152,388","21,759","102,905","27,724",,,
,"Rate per 100,000 inhabitants",,478.2,7.4,19.0,210.0,241.8,"2,888.5",412.4,"1,950.6",525.5,,,
"Bethesda-Gaithersburg-Frederick, MD M.D.",,"1,151,428",, , ,,,,,,,,,
,Includes Frederick and Montgomery Counties,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"3,055",27,180,"1,442","1,406","28,016","4,804","20,348","2,864",,,
,"Rate per 100,000 inhabitants",,265.3,2.3,15.6,125.2,122.1,"2,433.2",417.2,"1,767.2",248.7,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.1",,"4,124,226",,,,,,,,,,,,
,"Includes District of Columbia; Calvert, Charles, and Prince George's1 Counties, MD; Arlington, Clarke, Fairfax, Fauquier, Loudoun, Prince William, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",,,,,,,,,,,,,
,Total area actually reporting,99.6%,"22,106",362,818,"9,616","11,310","123,784","16,866","82,097","24,821",,,
,Estimated total,100.0%,"22,174",363,824,"9,637","11,350","124,372","16,955","82,557","24,860",,,
,"Rate per 100,000 inhabitants",,537.7,8.8,20.0,233.7,275.2,"3,015.6",411.1,"2,001.8",602.8,,,
"Waterloo-Cedar Falls, IA M.S.A.",,"162,756", ,,,,,,,,,,,
,"Includes Black Hawk, Bremer, and Grundy Counties",,,,,,,,,,,,,
,City of Waterloo ,"66,836",342,1,41,83,217,"3,057",907,"2,035",115,,,
,City of Cedar Falls,"36,665",86,0,13,5,68,881,140,703,38,,,
,Total area actually reporting,100.0%,533,3,63,90,377,"4,658","1,241","3,234",183,,,
,"Rate per 100,000 inhabitants",,327.5,1.8,38.7,55.3,231.6,"2,862.0",762.5,"1,987.0",112.4,,,
"Wausau, WI M.S.A.",,"129,414",,,,,,,,,,,,
,Includes Marathon County,,,,,,,,,,,,,
,City of Wausau,"37,429",109,1,12,21,75,"1,323",237,"1,030",56,,,
,Total area actually reporting,100.0%,205,4,18,25,158,"2,482",480,"1,898",104,,,
,"Rate per 100,000 inhabitants",,158.4,3.1,13.9,19.3,122.1,"1,917.9",370.9,"1,466.6",80.4,,,
"Wenatchee, WA M.S.A.",,"106,568",,,,,,,,,,,,
,Includes Chelan and Douglas Counties,,,,,,,,,,,,,
,City of Wenatchee,"29,879",95,0,14,22,59,"1,550",224,"1,255",71,,,
,Total area actually reporting,100.0%,214,2,30,40,142,"3,946",629,"3,130",187,,,
,"Rate per 100,000 inhabitants",,200.8,1.9,28.2,37.5,133.2,"3,702.8",590.2,"2,937.1",175.5,,,
"Wheeling, WV-OH M.S.A.",,"148,832",,,,,,,,,,,,
,"Includes Belmont County, OH and Marshall and Ohio Counties, WV",,,,,,,,,,,,,
,"City of Wheeling, WV","29,665",118,1,18,26,73,985,245,652,88,,,
,Total area actually reporting,88.4%,217,1,33,40,143,"2,046",521,"1,355",170,,,
,Estimated total,100.0%,251,1,38,53,159,"2,579",622,"1,754",203,,,
,"Rate per 100,000 inhabitants",,168.6,0.7,25.5,35.6,106.8,"1,732.8",417.9,"1,178.5",136.4,,,
"Wichita, KS M.S.A.",,"591,201",,,,,,,,,,,,
,"Includes Butler, Harvey, Sedgwick, and Sumner Counties",,,,,,,,,,,,,
,City of Wichita,"357,372","3,319",26,240,520,"2,533","19,562","3,800","13,786","1,976",,,
,Total area actually reporting,99.9%,"3,962",29,314,547,"3,072","26,264","5,102","18,820","2,342",,,
,Estimated total,100.0%,"3,964",29,314,547,3074,"26,288","5,106","18,838","2,344",,,
,"Rate per 100,000 inhabitants",,670.5,4.9,53.1,92.5,520.0,"4,446.5",863.7,"3,186.4",396.5,,,
"Wichita Falls, TX M.S.A.",,"150,422",,,,,,,,,,,,
,"Includes Archer, Clay, and Wichita Counties",,,,,,,,,,,,,
,City of Wichita Falls,"102,675",491,9,27,169,286,"6,285","1,291","4,574",420,,,
,Total area actually reporting,100.0%,533,9,40,172,312,"7,120","1,583","5,062",475,,,
,"Rate per 100,000 inhabitants",,354.3,6.0,26.6,114.3,207.4,"4,733.4","1,052.4","3,365.2",315.8,,,
"Williamsport, PA M.S.A.",,"118,500",,,,,,,,,,,,
,Includes Lycoming County,,,,,,,,,,,,,
,City of Williamsport,"30,139",112,1,4,72,35,"1,489",296,"1,110",83,,,
,Total area actually reporting,93.7%,180,1,18,79,82,"2,715",632,"1,949",134,,,
,Estimated total,100.0%,198,1,19,84,94,"2,876",656,"2,075",145,,,
,"Rate per 100,000 inhabitants",,167.1,0.8,16.0,70.9,79.3,"2,427.0",553.6,"1,751.1",122.4,,,
"Wilmington, NC M.S.A.",,"321,432",,,,,,,,,,,,
,"Includes Brunswick, New Hanover, and Pender Counties",,,,,,,,,,,,,
,City of Wilmington,"97,381",857,7,62,409,379,"6,207","1,694","3,865",648,,,
,Total area actually reporting,98.5%,"1,457",15,132,511,799,"14,816","4,595","9,025","1,196",,,
,Estimated total,100.0%,"1,480",15,134,517,814,"15,078","4,658","9,210","1,210",,,
,"Rate per 100,000 inhabitants",,460.4,4.7,41.7,160.8,253.2,"4,690.9","1,449.1","2,865.3",376.4,,,
"Winchester, VA-WV M.S.A.",,"117,226",,,,,,,,,,,,
,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",,,,,,,,,,,,,
,"City of Winchester, VA","25,369",107,0,5,48,54,"1,395",201,"1,122",72,,,
,Total area actually reporting,100.0%,267,6,39,71,151,"3,164",650,"2,270",244,,,
,"Rate per 100,000 inhabitants",,227.8,5.1,33.3,60.6,128.8,"2,699.1",554.5,"1,936.4",208.1,,,
"Winston-Salem, NC M.S.A.",,"457,581",,,,,,,,,,,,
,"Includes Davie, Forsyth, Stokes, and Yadkin Counties",,,,,,,,,,,,,
,City of Winston-Salem,"197,621","1,654",20,126,669,839,"13,449","4,289","8,126","1,034",,,
,Total area actually reporting,99.4%,"2,457",24,170,777,"1,486","20,812","6,320","13,017","1,475",,,
,Estimated total,100.0%,"2,471",24,171,781,"1,495","20,961","6,356","13,122","1,483",,,
,"Rate per 100,000 inhabitants",,540.0,5.2,37.4,170.7,326.7,"4,580.8","1,389.0","2,867.7",324.1,,,
"Worcester, MA M.S.A.3",,"787,969",,,,,,,,,,,,
,Includes Worcester County,,,,,,,,,,,,,
,City of Worcester,"176,956","1,496",6,124,388,978,"5,671","1,231","3,452",988,,,
,Total area actually reporting,99.1%,,9,304,584,,"14,594","3,500","9,432","1,662",,,
,Estimated total,100.0%,,9,305,589,,"14,737","3,535","9,526","1,676",,,
,"Rate per 100,000 inhabitants",,,1.1,38.7,74.7,,"1,870.3",448.6,"1,208.9",212.7,,,
"Yakima, WA M.S.A.",,"235,565",,,,,,,,,,,,
,Includes Yakima County,,,,,,,,,,,,,
,City of Yakima,"82,609",449,3,62,158,226,"7,159","1,469","4,687","1,003",,,
,Total area actually reporting,100.0%,756,10,126,233,387,"14,974","3,518","9,280","2,176",,,
,"Rate per 100,000 inhabitants",,320.9,4.2,53.5,98.9,164.3,"6,356.6","1,493.4","3,939.5",923.7,,,
"Yuba City, CA M.S.A.",,"157,434", ,,,,,,,,,,,
,Includes Sutter and Yuba Counties,,,,,,,,,,,,,
,City of Yuba City,"59,156",250,2,21,50,177,"2,029",459,"1,326",244,,,
,Total area actually reporting,100.0%,748,7,62,134,545,"5,253","1,637","2,840",776,,,
,"Rate per 100,000 inhabitants",,475.1,4.4,39.4,85.1,346.2,"3,336.6","1,039.8","1,803.9",492.9,,,
"Yuma, AZ M.S.A.",,"188,206",,,,,,,,,,,,
,Includes Yuma County,,,,,,,,,,,,,
,City of Yuma,"87,925",542,3,33,84,422,"4,066",809,"2,512",745,,,
,Total area actually reporting,88.1%,786,6,40,118,622,"5,912","1,186","3,714","1,012",,,
,Estimated total,100.0%,873,7,46,138,682,"6,889","1,426","4,312","1,151",,,
,"Rate per 100,000 inhabitants",,463.9,3.7,24.4,73.3,362.4,"3,660.4",757.7,"2,291.1",611.6,,,
"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",,"325,397",,,,,,,,,,,,
,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, and San Sebastian Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,197,8,2,93,94,"1,761",781,869,111,,,
,"Rate per 100,000 inhabitants",,60.5,2.5,0.6,28.6,28.9,541.2,240.0,267.1,34.1,,,
"Fajardo, Puerto Rico M.S.A.",,"81,048",,,,,,,,,,,,
,"Includes Ceiba, Fajardo, and Luquillo Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,145,14,3,69,59,"1,087",477,551,59,,,
,"Rate per 100,000 inhabitants",,178.9,17.3,3.7,85.1,72.8,"1,341.2",588.5,679.8,72.8,,,
"Guayama, Puerto Rico M.S.A.",,"85,639",,,,,,,,,,,,
,"Includes Arroyo, Guayama, and Patillas Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,119,13,4,46,56,399,289,45,65,,,
,"Rate per 100,000 inhabitants",,139.0,15.2,4.7,53.7,65.4,465.9,337.5,52.5,75.9,,,
"Mayaguez, Puerto Rico M.S.A.",,"116,770",,,,,,,,,,,,
,Includes Hormigueros and Mayaguez Municipios,,,,,,,,,,,,,
,Total area actually reporting,100.0%,206,11,4,127,64,"2,537",731,"1,653",153,,,
,"Rate per 100,000 inhabitants",,176.4,9.4,3.4,108.8,54.8,"2,172.6",626.0,"1,415.6",131.0,,,
"Ponce, Puerto Rico M.S.A.",,"270,985",,,,,,,,,,,,
,"Includes Juana Diaz, Ponce, and Villalba Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,651,75,19,265,292,"3,863","1,179","2,355",329,,,
,"Rate per 100,000 inhabitants",,240.2,27.7,7.0,97.8,107.8,"1,425.5",435.1,869.1,121.4,,,
"San German-Cabo Rojo, Puerto Rico M.S.A.",,"141,652",,,,,,,,,,,,
,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,76,7,6,37,26,864,444,351,69,,,
,"Rate per 100,000 inhabitants",,53.7,4.9,4.2,26.1,18.4,609.9,313.4,247.8,48.7,,,
"San Juan-Caguas-Guaynabo, Puerto Rico M.S.A.",,"2,586,865",,,,,,,,,,,,
,"Includes Aguas Buenas, Aibonito, Arecibo, 
Barceloneta, Barranquitas, Bayamon, 
Caguas, Camuy, Canovanas, Carolina, 
Catano, Cayey, Ciales, Cidra, Comerio, 
Corozal, Dorado, Florida, Guaynabo, 
Gurabo, Hatillo, Humacao, Juncos, 
Las Piedras, Loiza, Manati, Maunabo, 
Morovis, Naguabo, Naranjito, Orocovis, 
Quebradillas, Rio Grande, San Juan, 
San Lorenzo, Toa Alta, Toa Baja, 
Trujillo Alto, Vega Alta, Vega Baja, 
and Yabucoa Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"7,032",564,66,"4,403","1,999","39,787","11,500","20,794","7,493",,,
,"Rate per 100,000 inhabitants",,271.8,21.8,2.6,170.2,77.3,"1,538.0",444.6,803.8,289.7,,,
"Yauco, Puerto Rico M.S.A.",,"122,282",,,,,,,,,,,,
,"Includes Guanica, Guayanilla, Penuelas, and 
Yauco Municipios",,,,,,,,,,,,,
,Total area actually reporting,100.0%,222,28,9,89,96,975,382,521,72,,,
