Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Springfield,"154,518","1,606",11,39,542,"1,014","7,024","2,317","3,947",760
,Total area actually reporting,98.7%,"3,108",13,220,819,"2,056","18,790","5,215","12,265","1,310"
,Estimated total,100.0%,"3,134",13,222,824,"2,075","18,949","5,254","12,376","1,319"
,"Rate per 100,000 inhabitants",,499.7,2.1,35.4,131.4,330.9,"3,021.5",837.8,"1,973.4",210.3
"Springfield, MO M.S.A.",,"440,970", ,,,,, ,,,
,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",,,,,,,,,,
,City of Springfield,"160,962","1,596",16,141,353,"1,086","14,504","2,215","11,238","1,051"
,Total area actually reporting,100.0%,"2,123",22,187,376,"1,538","20,386","3,735","15,248","1,403"
,"Rate per 100,000 inhabitants",,481.4,5.0,42.4,85.3,348.8,"4,623.0",847.0,"3,457.8",318.2
"Springfield, OH M.S.A.",,"137,682", ,,,,, ,,,
,Includes Clark County,,,,,,,,,,
,City of Springfield,"60,329",373,5,38,178,152,"4,337","1,420","2,746",171
,Total area actually reporting,99.8%,403,5,45,182,171,"5,635","1,748","3,677",210
,Estimated total,100.0%,403,5,45,182,171,"5,643","1,750","3,683",210
,"Rate per 100,000 inhabitants",,292.7,3.6,32.7,132.2,124.2,"4,098.6","1,271.0","2,675.0",152.5
"State College, PA M.S.A.",,"154,973", ,,,,, ,,,
,Includes Centre County,,,,,,,,,,
,City of State College,"57,020",53,1,11,12,29,787,115,658,14
,Total area actually reporting,100.0%,151,1,32,27,91,"2,199",355,"1,800",44
,"Rate per 100,000 inhabitants",,97.4,0.6,20.6,17.4,58.7,"1,419.0",229.1,"1,161.5",28.4
"Staunton-Waynesboro, VA M.S.A.",,"119,937", ,,,,, ,,,
,Includes Augusta County and Staunton and Waynesboro Cities ,,,,,,,,,,
,City of Staunton,"24,031",42,0,8,11,23,527,62,456,9
,City of Waynesboro,"21,546",70,0,11,9,50,744,88,617,39
,Total area actually reporting,100.0%,198,2,26,22,148,"2,119",281,"1,750",88
,"Rate per 100,000 inhabitants",,165.1,1.7,21.7,18.3,123.4,"1,766.8",234.3,"1,459.1",73.4
"St. George, UT M.S.A.",,"143,580", ,,,,, ,,,
,Includes Washington County,,,,,,,,,,
,City of St. George,"75,780",155,0,27,23,105,"1,561",307,"1,167",87
,Total area actually reporting,100.0%,244,3,43,30,168,"2,773",502,"2,141",130
,"Rate per 100,000 inhabitants",,169.9,2.1,29.9,20.9,117.0,"1,931.3",349.6,"1,491.2",90.5
"St. Joseph, MO-KS M.S.A.",,"127,840", ,,,,, ,,,
,"Includes Doniphan County, KS and Andrew, Buchanan, and De Kalb Counties, MO",,,,,,,,,,
,"City of St. Joseph, MO","77,330",323,1,22,91,209,"4,708",993,"3,344",371
,Total area actually reporting,100.0%,402,2,25,93,282,"5,473","1,201","3,851",421
,"Rate per 100,000 inhabitants",,314.5,1.6,19.6,72.7,220.6,"4,281.1",939.5,"3,012.4",329.3
"St. Louis, MO-IL M.S.A.",,"2,798,017",,,,,,,,,
,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, and Warren Counties and St. Louis City, MO",,,,,,,,,,
,"City of St. Louis, MO","318,667","5,661",113,199,"1,778","3,571","21,995","4,986","13,520","3,489"
,"City of St. Charles, MO","66,723",101,1,7,23,70,"1,949",222,"1,663",64
,Total area actually reporting,98.5%,"12,880",202,749,"3,097","8,832","79,753","16,800","56,025","6,928"
,Estimated total,100.0%,"12,971",203,759,"3,121","8,888","80,634","16,980","56,689","6,965"
,"Rate per 100,000 inhabitants",,463.6,7.3,27.1,111.5,317.7,"2,881.8",606.9,"2,026.0",248.9
"Stockton-Lodi, CA M.S.A.",,"702,670", ,,,,, ,,,
,Includes San Joaquin County,,,,,,,,,,
,City of Stockton,"299,105","4,630",71,90,"1,556","2,913","15,258","4,416","8,339","2,503"
,City of Lodi,"63,718",280,2,12,86,180,"2,599",754,"1,508",337
,Total area actually reporting,100.0%,"6,249",89,152,"1,992","4,016","29,264","8,019","16,847","4,398"
,"Rate per 100,000 inhabitants",,889.3,12.7,21.6,283.5,571.5,"4,164.7","1,141.2","2,397.6",625.9
"Sumter, SC M.S.A.",,"108,482", ,,,,, ,,,
,Includes Sumter County,,,,,,,,,,
,City of Sumter,"40,911",403,7,8,65,323,"2,147",599,"1,409",139
,Total area actually reporting,100.0%,827,12,28,104,683,"4,645","1,604","2,696",345
,"Rate per 100,000 inhabitants",,762.3,11.1,25.8,95.9,629.6,"4,281.8","1,478.6","2,485.2",318.0
"Syracuse, NY M.S.A.1",,"666,129", ,,,,, ,,,
,"Includes Madison, Onondaga, and Oswego Counties1",,,,,,,,,,
,City of Syracuse1,"145,934","1,372",14,75,454,829,"5,976","1,896","3,698",382
,Total area actually reporting,99.6%,"2,021",15,154,574,"1,278","16,737","4,039","11,973",725
,Estimated total,100.0%,"2,026",15,154,576,"1,281","16,784","4,046","12,011",727
,"Rate per 100,000 inhabitants",,304.1,2.3,23.1,86.5,192.3,"2,519.6",607.4,"1,803.1",109.1
"Tallahassee, FL M.S.A.",,"374,804", ,,,,, ,,,
,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",,,,,,,,,,
,City of Tallahassee,"185,461","1,582",12,115,525,930,"8,617","2,630","5,463",524
,Total area actually reporting,99.8%,"2,296",22,165,611,"1,498","13,026","4,074","8,238",714
,Estimated total,100.0%,"2,299",22,165,612,"1,500","13,050","4,079","8,256",715
,"Rate per 100,000 inhabitants",,613.4,5.9,44.0,163.3,400.2,"3,481.8","1,088.3","2,202.8",190.8
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",,"2,863,265",,,,,,,,,
,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",,,,,,,,,,
,City of Tampa ,"350,758","2,162",23,43,573,"1,523","9,947","2,476","6,864",607
,City of St. Petersburg,"248,340","2,239",15,94,585,"1,545","12,451","2,933","8,642",876
,City of Clearwater,"109,255",727,3,59,206,459,"4,264",919,"3,169",176
,City of Largo,"78,783",394,1,43,114,236,"3,117",574,"2,413",130
,Total area actually reporting,100.0%,"11,718",111,701,"2,711","8,195","81,969","19,377","58,203","4,389"
,"Rate per 100,000 inhabitants",,409.3,3.9,24.5,94.7,286.2,"2,862.8",676.7,"2,032.7",153.3
"Terre Haute, IN M.S.A.",,"173,204", ,,,,, ,,,
,"Includes Clay, Sullivan, Vermillion, and Vigo Counties",,,,,,,,,,
,City of Terre Haute,"61,152",191,4,29,85,73,"3,730","1,035","2,412",283
,Total area actually reporting,86.7%,299,8,41,92,158,"6,021","1,512","4,116",393
,Estimated total,100.0%,328,8,44,97,179,"6,420","1,604","4,398",418
,"Rate per 100,000 inhabitants",,189.4,4.6,25.4,56.0,103.3,"3,706.6",926.1,"2,539.2",241.3
"Texarkana, TX-AR M.S.A.",,"151,153",,,,,,,,,
,"Includes Little River and Miller Counties, AR and Bowie County, TX",, ,,,,,,,,
,"City of Texarkana, TX ","37,048",392,5,16,71,300,"2,506",616,"1,761",129
,Total area actually reporting,100.0%,"1,039",8,51,135,845,"6,292","1,622","4,293",377
,"Rate per 100,000 inhabitants",,687.4,5.3,33.7,89.3,559.0,"4,162.7","1,073.1","2,840.2",249.4
"The Villages, FL M.S.A.",,"99,090", ,,,,, ,,,
,Includes Sumter County,,,,,,,,,,
,Total area actually reporting,95.8%,152,0,16,17,119,925,321,559,45
,Estimated total,100.0%,171,0,17,23,131,"1,079",355,670,54
,"Rate per 100,000 inhabitants",,172.6,0.0,17.2,23.2,132.2,"1,088.9",358.3,676.2,54.5
"Toledo, OH M.S.A.6",,"608,831", ,,,,, ,,,
,"Includes Fulton, Lucas, and Wood Counties",,,,,,,,,,
,City of Toledo6,"286,020","3,352",39,172,"1,126","2,015",,"6,729",,"1,334"
,Total area actually reporting,89.9%,"3,648",42,211,"1,206","2,189",,"8,129",,"1,566"
,Estimated total,100.0%,"3,735",43,225,"1,239","2,228",,"8,460",,"1,622"
,"Rate per 100,000 inhabitants",,613.5,7.1,37.0,203.5,365.9,,"1,389.5",,266.4
"Topeka, KS M.S.A.",,"235,846", ,,,,, ,,,
,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",,,,,,,,,,
,City of Topeka,"128,843",772,15,39,237,481,"6,841","1,277","4,967",597
,Total area actually reporting,97.8%,972,18,49,245,660,"8,930","1,848","6,345",737
,Estimated total,100.0%,982,18,50,246,668,"9,047","1,868","6,434",745
,"Rate per 100,000 inhabitants",,416.4,7.6,21.2,104.3,283.2,"3,836.0",792.0,"2,728.1",315.9
"Trenton, NJ M.S.A.",,"368,870",,,,,,,,,
,Includes Mercer County,, ,,,,,,,,
,City of Trenton,"85,317","1,251",24,23,577,627,"2,746","1,291",986,469
,Total area actually reporting,100.0%,"1,645",26,50,758,811,"8,200","2,447","5,039",714
,"Rate per 100,000 inhabitants",,446.0,7.0,13.6,205.5,219.9,"2,223.0",663.4,"1,366.1",193.6
"Tucson, AZ M.S.A.6",,"1,000,369", ,,,,, ,,,
,Includes Pima County,,,,,,,,,,
,City of Tucson6,"531,535","3,851",43,234,"1,260","2,314",,"5,021",,"2,499"
,Total area actually reporting,100.0%,"4,771",57,342,"1,481","2,891",,"8,323",,"3,613"
,"Rate per 100,000 inhabitants",,476.9,5.7,34.2,148.0,289.0,,832.0,,361.2
"Tulsa, OK M.S.A.",,"952,785", ,,,,, ,,,
,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",,,,,,,,,,
,City of Tulsa,"398,904","3,949",42,316,"1,062","2,529","20,807","6,235","12,162","2,410"
,Total area actually reporting,100.0%,"5,171",54,470,"1,200","3,447","31,461","8,972","19,371","3,118"
,"Rate per 100,000 inhabitants",,542.7,5.7,49.3,125.9,361.8,"3,302.0",941.7,"2,033.1",327.3
"Tuscaloosa, AL M.S.A.",,"232,913", ,,,,, ,,,
,"Includes Hale, Pickens, and Tuscaloosa Counties",,,,,,,,,,
,City of Tuscaloosa,"91,973",478,4,37,170,267,"4,349","1,182","2,965",202
,Total area actually reporting,99.7%,929,13,61,237,618,"7,674","2,072","5,216",386
,Estimated total,100.0%,932,13,61,238,620,"7,699","2,078","5,234",387
,"Rate per 100,000 inhabitants",,400.1,5.6,26.2,102.2,266.2,"3,305.5",892.2,"2,247.2",166.2
"Tyler, TX M.S.A.",,"216,577", ,,,,, ,,,
,Includes Smith County,,,,,,,,,,
,City of Tyler,"100,040",536,3,45,92,396,"4,506","1,025","3,350",131
,Total area actually reporting,100.0%,847,6,91,115,635,"6,894","1,894","4,679",321
,"Rate per 100,000 inhabitants",,391.1,2.8,42.0,53.1,293.2,"3,183.2",874.5,"2,160.4",148.2
"Utica-Rome, NY M.S.A.1",,"300,058",,,,,,,,,
,Includes Herkimer and Oneida Counties1,, ,,,,,,,,
,City of Utica1 ,"62,445",411,1,23,126,261,"2,704",591,"2,014",99
,City of Rome1,"33,842",46,0,8,21,17,468,133,310,25
,Total area actually reporting,98.0%,727,4,53,168,502,"6,938","1,472","5,212",254
,Estimated total,100.0%,739,4,54,172,509,"7,054","1,490","5,306",258
,"Rate per 100,000 inhabitants",,246.3,1.3,18.0,57.3,169.6,"2,350.9",496.6,"1,768.3",86.0
"Valdosta, GA M.S.A.",,"143,826", ,,,,, ,,,
,"Includes Brooks, Echols, Lanier, and Lowndes Counties",,,,,,,,,,
,City of Valdosta,"56,617",248,3,38,88,119,"2,324",655,"1,592",77
,Total area actually reporting,99.1%,482,5,60,111,306,"4,082","1,121","2,803",158
,Estimated total,100.0%,487,5,60,113,309,"4,137","1,132","2,843",162
,"Rate per 100,000 inhabitants",,338.6,3.5,41.7,78.6,214.8,"2,876.4",787.1,"1,976.7",112.6
"Vallejo-Fairfield, CA M.S.A.",,"420,333",,,,,,,,,
,Includes Solano County,, ,,,,,,,,
,City of Vallejo ,"117,912",878,14,44,380,440,"5,844","2,688","1,681","1,475"
,City of Fairfield ,"107,110",454,8,30,139,277,"3,317",676,"2,144",497
,Total area actually reporting,100.0%,"1,850",28,115,660,"1,047","13,227","4,342","6,451","2,434"
,"Rate per 100,000 inhabitants",,440.1,6.7,27.4,157.0,249.1,"3,146.8","1,033.0","1,534.7",579.1
"Victoria, TX M.S.A.",,"96,207", ,,,,, ,,,
,Includes Goliad and Victoria Counties,,,,,,,,,,
,City of Victoria,"64,076",405,5,31,47,322,"2,584",594,"1,887",103
,Total area actually reporting,100.0%,500,6,49,52,393,"3,207",799,"2,275",133
,"Rate per 100,000 inhabitants",,519.7,6.2,50.9,54.1,408.5,"3,333.4",830.5,"2,364.7",138.2
"Vineland-Bridgeton, NJ M.S.A.",,"157,869", ,,,,, ,,,
,Includes Cumberland County,,,,,,,,,,
,City of Vineland,"61,252",225,1,7,66,151,"2,541",694,"1,804",43
,City of Bridgeton,"25,378",322,2,4,140,176,"1,108",484,582,42
,Total area actually reporting,100.0%,866,7,32,315,512,"6,756","2,033","4,559",164
,"Rate per 100,000 inhabitants",,548.6,4.4,20.3,199.5,324.3,"4,279.5","1,287.8","2,887.8",103.9
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",,"1,703,542",,,,,,,,,
,"Includes Currituck and Gates Counties, NC and Gloucester, Isle of Wight, James City, Mathews, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA                       ",,,,,,,,,,
,"City of Virginia Beach, VA","447,588",758,21,58,326,353,"11,717","1,573","9,662",482
,"City of Norfolk, VA","245,303","1,332",34,75,491,732,"11,391","2,261","8,403",727
,"City of Newport News, VA","181,591",754,20,50,271,413,"5,722","1,029","4,431",262
,"City of Hampton, VA","137,905",314,9,16,146,143,"4,657",758,"3,637",262
,"City of Portsmouth, VA","96,739",461,11,41,182,227,"4,821","1,218","3,392",211
,Total area actually reporting,99.3%,"5,104",116,348,"1,739","2,901","52,597","8,989","41,134","2,474"
,Estimated total,100.0%,"5,124",116,350,"1,742","2,916","52,842","9,084","41,271","2,487"
,"Rate per 100,000 inhabitants",,300.8,6.8,20.5,102.3,171.2,"3,101.9",533.2,"2,422.7",146.0
"Visalia-Porterville, CA M.S.A.",,"453,419",,,,,,,,,
,Includes Tulare County,, ,,,,,,,,
,City of Visalia ,"127,604",544,5,44,134,361,"5,531","1,227","3,778",526
,City of Porterville,"55,533",200,3,10,63,124,"1,807",595,"1,014",198
,Total area actually reporting,100.0%,"2,164",37,117,415,"1,595","15,488","4,375","9,265","1,848"
,"Rate per 100,000 inhabitants",,477.3,8.2,25.8,91.5,351.8,"3,415.8",964.9,"2,043.4",407.6
"Waco, TX M.S.A.",,"260,350", ,,,,, ,,,
,Includes Falls and McLennan Counties,,,,,,,,,,
,City of Waco,"128,595",635,6,63,182,384,"5,844","1,550","4,139",155
,Total area actually reporting,99.1%,"1,051",10,119,222,700,"9,061","2,307","6,466",288
,Estimated total,100.0%,"1,057",10,120,223,704,"9,131","2,321","6,518",292
,"Rate per 100,000 inhabitants",,406.0,3.8,46.1,85.7,270.4,"3,507.2",891.5,"2,503.6",112.2
"Walla Walla, WA M.S.A.",,"64,262",,,,,,,,,
,Includes Columbia and Walla Walla Counties,,,,,,,,,,
,City of Walla Walla,"32,463",113,0,16,18,79,"1,446",274,"1,101",71
,Total area actually reporting,100.0%,147,1,22,22,102,"2,266",496,"1,664",106
,"Rate per 100,000 inhabitants",,228.8,1.6,34.2,34.2,158.7,"3,526.2",771.8,"2,589.4",164.9
"Warner Robins, GA M.S.A.",,"185,441",,,,,,,,,
,"Includes Houston, Peach, and Pulaski Counties",,,,,,,,,,
,City of Warner Robins,"69,231",366,6,21,141,198,"3,979",781,"3,050",148
,Total area actually reporting,97.3%,707,8,35,187,477,"6,824","1,508","5,054",262
,Estimated total,100.0%,727,8,36,194,489,"7,035","1,548","5,209",278
,"Rate per 100,000 inhabitants",,392.0,4.3,19.4,104.6,263.7,"3,793.7",834.8,"2,809.0",149.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",,"5,826,080",,,,,,,,,
,"Includes the Metropolitan Divisions of Silver Spring-Frederick-Rockville, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",,,,,,,,,,
,"City of Washington, D.C. ","632,323","7,448",88,236,"3,725","3,399","29,264","3,519","22,196","3,549"
,"City of Alexandria, VA","145,892",243,0,9,138,96,"2,990",281,"2,383",326
,"City of Frederick, MD","66,808",381,1,26,106,248,"1,899",245,"1,527",127
,Total area actually reporting,99.9%,"19,369",210,982,"8,771","9,406","132,807","18,167","101,930","12,710"
,Estimated total,100.0%,"19,381",210,983,"8,773","9,415","132,959","18,193","102,052","12,714"
,"Rate per 100,000 inhabitants",,332.7,3.6,16.9,150.6,161.6,"2,282.1",312.3,"1,751.6",218.2
"Silver Spring-Frederick-Rockville, MD M.D.",,"1,238,384",,,,,,,,,
,Includes Frederick and Montgomery Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"2,497",15,156,"1,009","1,317","21,372","3,360","16,741","1,271"
,"Rate per 100,000 inhabitants",,201.6,1.2,12.6,81.5,106.3,"1,725.8",271.3,"1,351.8",102.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",,"4,587,696",,,,, ,,,,
,"Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Culpeper, Fairfax, Fauquier, Loudoun, Prince William, Rapppahannock, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",,,,,,,,,,
,Total area actually reporting,99.9%,"16,872",195,826,"7,762","8,089","111,435","14,807","85,189","11,439"
,Estimated total,100.0%,"16,884",195,827,"7,764","8,098","111,587","14,833","85,311","11,443"
,"Rate per 100,000 inhabitants",,368.0,4.3,18.0,169.2,176.5,"2,432.3",323.3,"1,859.6",249.4
"Waterloo-Cedar Falls, IA M.S.A.",,"168,941",,,,,,,,,
,"Includes Black Hawk, Bremer, and Grundy Counties",, ,,,,,,,,
,City of Waterloo ,"68,919",470,4,64,69,333,"2,514",828,"1,590",96
,City of Cedar Falls,"39,540",47,0,15,4,28,647,104,520,23
,Total area actually reporting,100.0%,616,6,91,76,443,"3,836","1,115","2,577",144
,"Rate per 100,000 inhabitants",,364.6,3.6,53.9,45.0,262.2,"2,270.6",660.0,"1,525.4",85.2
"Watertown-Fort Drum, NY M.S.A.1",,"118,546",,,,,,,,,
,Includes Jefferson County1,, ,,,,,,,,
,City of Watertown1,"27,571",154,0,12,20,122,"1,576",269,"1,183",124
,Total area actually reporting,96.1%,213,1,14,24,174,"2,683",458,"2,071",154
,Estimated total,100.0%,221,1,14,27,179,"2,773",472,"2,144",157
,"Rate per 100,000 inhabitants",,186.4,0.8,11.8,22.8,151.0,"2,339.2",398.2,"1,808.6",132.4
"Wausau, WI M.S.A.",,"134,744",,,,,,,,,
,Includes Marathon County,, ,,,,,,,,
,City of Wausau,"39,313",120,1,21,21,77,"1,079",241,806,32
,Total area actually reporting,98.6%,165,2,28,24,111,"2,238",486,"1,681",71
,Estimated total,100.0%,168,2,28,25,113,"2,284",492,"1,720",72
,"Rate per 100,000 inhabitants",,124.7,1.5,20.8,18.6,83.9,"1,695.1",365.1,"1,276.5",53.4
"Wheeling, WV-OH M.S.A.",,"147,195", ,,,,, ,,,
,"Includes Belmont County, OH and Marshall and Ohio Counties, WV",,,,,,,,,,
,"City of Wheeling, WV","28,356",245,0,17,42,186,767,265,455,47
,Total area actually reporting,96.2%,412,0,33,54,325,"2,717",721,"1,878",118
,Estimated total,100.0%,426,0,34,57,335,"2,896",752,"2,021",123
,"Rate per 100,000 inhabitants",,289.4,0.0,23.1,38.7,227.6,"1,967.5",510.9,"1,373.0",83.6
"Wichita, KS M.S.A.",,"636,615", ,,,,, ,,,
,"Includes Butler, Harvey, Kingman, Sedgewick, and Sumner Counties",,,,,,,,,,
,City of Wichita,"386,409","2,869",23,228,495,"2,123","21,070","3,919","15,331","1,820"
,Total area actually reporting,99.5%,"3,361",24,287,525,"2,525","26,550","5,227","19,232","2,091"
,Estimated total,100.0%,"3,368",24,288,526,"2,530","26,627","5,240","19,291","2,096"
,"Rate per 100,000 inhabitants",,529.0,3.8,45.2,82.6,397.4,"4,182.6",823.1,"3,030.2",329.2
"Wichita Falls, TX M.S.A.",,"152,511", ,,,,, ,,,
,"Includes Archer, Clay, and Wichita Counties",,,,,,,,,,
,City of Wichita Falls,"105,488",475,5,36,150,284,"5,021","1,259","3,532",230
,Total area actually reporting,100.0%,584,7,46,156,375,"5,854","1,527","4,043",284
,"Rate per 100,000 inhabitants",,382.9,4.6,30.2,102.3,245.9,"3,838.4","1,001.2","2,651.0",186.2
"Williamsport, PA M.S.A.",,"116,936", ,,,,, ,,,
,Includes Lycoming County,,,,,,,,,,
,City of Williamsport,"29,582",111,2,5,62,42,"1,235",266,926,43
,Total area actually reporting,100.0%,211,2,27,81,101,"2,530",515,"1,935",80
,"Rate per 100,000 inhabitants",,180.4,1.7,23.1,69.3,86.4,"2,163.6",440.4,"1,654.8",68.4
"Wilmington, NC M.S.A.",,"262,160", ,,,,, ,,,
,Includes New Hanover and Pender Counties,,,,,,,,,,
,City of Wilmington,"109,370",618,8,23,261,326,"5,910","1,694","3,843",373
,Total area actually reporting,99.1%,959,10,57,314,578,"9,947","2,653","6,751",543
,Estimated total,100.0%,966,10,57,316,583,"10,041","2,674","6,821",546
,"Rate per 100,000 inhabitants",,368.5,3.8,21.7,120.5,222.4,"3,830.1","1,020.0","2,601.8",208.3
"Winchester, VA-WV M.S.A.",,"131,237", ,,,,, ,,,
,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",,,,,,,,,,
,"City of Winchester, VA","26,880",59,0,9,17,33,"1,194",161,"1,004",29
,Total area actually reporting,100.0%,247,2,40,30,175,"3,035",548,"2,355",132
,"Rate per 100,000 inhabitants",,188.2,1.5,30.5,22.9,133.3,"2,312.6",417.6,"1,794.5",100.6
"Winston-Salem, NC M.S.A.",,"651,110", ,,,,, ,,,
,"Includes Davidson, Davie, Forsyth, Stokes, and Yadkin Counties",,,,,,,,,,
,City of Winston-Salem,"234,687","1,556",6,74,428,"1,048","13,701","4,529","8,490",682
,Total area actually reporting,99.3%,"2,607",13,133,579,"1,882","24,723","7,910","15,678","1,135"
,Estimated total,100.0%,"2,621",13,134,583,"1,891","24,896","7,949","15,806","1,141"
,"Rate per 100,000 inhabitants",,402.5,2.0,20.6,89.5,290.4,"3,823.6","1,220.8","2,427.5",175.2
"Worcester, MA-CT M.S.A.",,"851,171", ,,,,, ,,,
,"Includes Windham County, CT and Worcester County, MA",,,,,,,,,,
,"City of Worcester, MA","183,247","1,758",8,33,419,"1,298","6,432","2,040","3,927",465
,Total area actually reporting,99.0%,"3,548",14,184,652,"2,698","17,850","4,910","11,985",955
,Estimated total,100.0%,"3,576",14,186,658,"2,718","18,019","4,951","12,103",965
,"Rate per 100,000 inhabitants",,420.1,1.6,21.9,77.3,319.3,"2,117.0",581.7,"1,421.9",113.4
"Yakima, WA M.S.A.",,"249,564", ,,,,, ,,,
,Includes Yakima County,,,,,,,,,,
,City of Yakima,"93,419",566,11,52,152,351,"5,774","1,573","3,106","1,095"
,Total area actually reporting,100.0%,872,18,73,211,570,"10,230","3,039","5,511","1,680"
,"Rate per 100,000 inhabitants",,349.4,7.2,29.3,84.5,228.4,"4,099.1","1,217.7","2,208.3",673.2
"York-Hanover, PA M.S.A.",,"437,478",,,,,,,,,
,Includes York County,,,,,,,,,,
,City of York,"43,955",587,11,44,189,343,"1,582",433,"1,050",99
,City of Hanover,"15,373",31,0,6,13,12,609,30,573,6
,Total area actually reporting,100.0%,"1,095",16,103,303,673,"8,659","1,309","7,058",292
,"Rate per 100,000 inhabitants",,250.3,3.7,23.5,69.3,153.8,"1,979.3",299.2,"1,613.3",66.7
"Youngstown-Warren-Boardman, OH-PA M.S.A.",,"562,899",,,,,,,,,
,"Includes Mahoning and Trumbull Counties, OH and Mercer County, PA",,,,,,,,,,
,"City of Youngstown, OH","66,567",684,22,39,244,379,"3,636","1,739","1,621",276
,"City of Warren, OH","41,355",279,4,16,102,157,"2,010",812,"1,086",112
,"City of Boardman, OH","40,608",43,1,6,31,5,"1,698",273,"1,371",54
,Total area actually reporting,97.2%,"1,584",32,132,549,871,"17,183","5,649","10,764",770
,Estimated total,100.0%,"1,605",32,135,557,881,"17,599","5,733","11,082",784
,"Rate per 100,000 inhabitants",,285.1,5.7,24.0,99.0,156.5,"3,126.5","1,018.5","1,968.7",139.3
"Yuba City, CA M.S.A.",,"169,050",,,,,,,,,
,Includes Sutter and Yuba Counties,,,,,,,,,,
,City of Yuba City,"65,653",247,4,22,43,178,"1,982",501,"1,297",184
,Total area actually reporting,100.0%,603,11,53,84,455,"4,845","1,370","2,934",541
,"Rate per 100,000 inhabitants",,356.7,6.5,31.4,49.7,269.2,"2,866.0",810.4,"1,735.6",320.0
"Yuma, AZ M.S.A.",,"203,062",,,,,,,,,
,Includes Yuma County,, ,,,,, ,,,
,City of Yuma,"95,568",508,5,27,61,415,"3,353",955,"2,162",236
,Total area actually reporting,98.5%,707,7,41,73,586,"5,026","1,549","3,083",394
,Estimated total,100.0%,716,7,42,75,592,"5,128","1,569","3,159",400
,"Rate per 100,000 inhabitants",,352.6,3.4,20.7,36.9,291.5,"2,525.3",772.7,"1,555.7",197.0
"Aguadilla-Isabela, Puerto Rico M.S.A.",,"333,873",,,,,,,,,
,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, San Sebastian and Utuado Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,378,31,0,198,149,"3,680","1,663","1,892",125
,"Rate per 100,000 inhabitants",,113.2,9.3,0.0,59.3,44.6,"1,102.2",498.1,566.7,37.4
"Arecibo, Puerto Rico M.S.A.",,"197,341",,,,,,,,,
,"Includes Arecibo, Camuy, Hatillo, and Quebradillas Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,286,39,0,169,78,"1,868",792,870,206
,"Rate per 100,000 inhabitants",,144.9,19.8,0.0,85.6,39.5,946.6,401.3,440.9,104.4
"Guayama, Puerto Rico M.S.A.",,"83,319",,,,,,,,,
,"Includes Arroyo, Guayama, and Patillas Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,214,29,2,74,109,"1,212",449,732,31
,"Rate per 100,000 inhabitants",,256.8,34.8,2.4,88.8,130.8,"1,454.7",538.9,878.6,37.2
"Mayaguez, Puerto Rico M.S.A.",,"103,202",,,,,,,,,
,Includes Hormigueros and Mayaguez Municipios,,,,,,,,,,
,Total area actually reporting,100.0%,221,21,0,126,74,"1,917",669,"1,152",96
,"Rate per 100,000 inhabitants",,214.1,20.3,0.0,122.1,71.7,"1,857.5",648.2,"1,116.3",93.0
"Ponce, Puerto Rico M.S.A.",,"339,967",,,,,,,,,
,"Includes Guanica, Guyanilla, Juana Diaz, Penuelas, Ponce, Villalba  and Yauco Municipios",,,,,,,,,,
,Total area actually reporting,100.0%,707,75,9,364,259,"3,358",912,"2,309",137
,"Rate per 100,000 inhabitants",,208.0,22.1,2.6,107.1,76.2,987.7,268.3,679.2,40.3
"San German, Puerto Rico M.S.A.",,"136,182",,,,,,,,,
,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",,,,,,,,,,
